,h3,verzilting,bodemdaling,wateroverlast,boerenlandvogels,peilgebieden
570,8919694b637ffff,0,0,0,1,0
571,89196b96923ffff,0,0,0,0,1
572,89196959a23ffff,0,1,0,0,0
573,89196948013ffff,0,0,0,1,0
574,89196941e53ffff,0,1,0,0,0
575,8919694b3d3ffff,0,0,0,0,0
576,89196948433ffff,0,0,0,1,0
577,89196bb2093ffff,0,0,0,0,0
578,891969491bbffff,0,1,0,0,0
579,89196949ad3ffff,0,0,0,1,0
580,89196958babffff,0,0,0,0,0
581,89196b86803ffff,0,0,0,0,0
582,8919694320bffff,0,0,0,1,0
583,89196948c6fffff,0,0,0,1,0
584,8919694b377ffff,0,0,0,0,0
585,8919694ab6bffff,0,1,0,0,0
586,8919694a393ffff,1,1,0,1,0
587,891969494cfffff,0,0,0,0,0
588,89196948377ffff,0,1,0,1,0
589,8919694ae67ffff,0,0,0,1,0
590,89196b86bc3ffff,0,0,0,0,0
591,8919694a323ffff,0,1,1,1,0
592,891969480a7ffff,0,0,0,1,0
593,8919694941bffff,0,0,0,0,0
594,89196b8691bffff,0,0,0,0,0
595,89196bb3513ffff,0,0,0,0,0
596,89196949c37ffff,0,1,0,1,0
597,891969488afffff,0,0,0,0,0
598,8919694aa83ffff,0,0,1,0,0
599,891969414d7ffff,0,0,0,1,0
600,89196948a8bffff,0,0,0,0,0
601,8919694a5bbffff,0,0,0,0,0
602,89196941ad7ffff,0,0,0,0,0
603,89196bb259bffff,0,0,0,0,0
604,8919694853bffff,0,0,1,1,0
605,89196b8693bffff,0,0,0,0,0
606,89196bb2423ffff,0,0,0,0,0
607,8919694890fffff,0,0,1,0,0
608,89196948b53ffff,0,0,0,0,0
609,8919694a16bffff,1,0,0,1,0
610,89196948b4fffff,0,0,0,0,0
611,89196949807ffff,0,1,1,0,1
612,89196949997ffff,0,0,0,1,0
613,8919694ad43ffff,0,0,0,0,0
614,8919694a3cfffff,0,1,0,1,0
615,8919694f477ffff,0,1,0,1,0
616,89196bb3047ffff,0,0,0,0,0
617,89196948817ffff,0,0,0,0,0
618,8919694aa2bffff,0,0,0,0,0
619,89196949a3bffff,0,0,0,1,0
620,8919694a01bffff,1,1,0,1,0
621,891969484d7ffff,0,1,0,0,0
622,89196bb22dbffff,0,0,0,0,0
623,89196b86967ffff,0,0,0,0,0
624,89196b86bd3ffff,0,0,0,0,0
625,89196949b97ffff,1,0,0,1,0
626,89196949403ffff,0,0,0,0,0
627,8919694b603ffff,0,0,0,0,0
628,8919694a6c3ffff,0,1,0,0,0
629,89196bb24b7ffff,0,0,0,0,0
630,89196b86d2bffff,1,0,0,0,0
631,8919694a423ffff,0,0,0,0,0
632,89196bb3567ffff,0,0,0,0,0
633,89196bb2293ffff,0,0,0,0,0
634,8919694842bffff,0,0,0,1,0
635,89196b86b2bffff,0,0,0,0,0
636,8919694a9a3ffff,0,0,0,0,0
637,8919694a62bffff,0,1,0,0,0
638,89196bb262fffff,0,0,0,0,0
639,89196b868c7ffff,0,0,1,0,0
640,8919694a4d3ffff,0,0,0,0,0
641,89196949133ffff,0,1,0,0,0
642,89196bb301bffff,1,0,0,0,0
643,8919694a50fffff,0,0,0,0,0
644,8919694a477ffff,0,0,0,0,0
645,89196958b53ffff,0,0,0,0,0
646,8919694aa67ffff,0,0,0,0,0
647,8919694129bffff,0,0,0,0,0
648,8919694b417ffff,0,0,0,0,0
649,89196b869d3ffff,0,1,0,0,0
650,8919694944fffff,0,0,0,0,0
651,891969483c7ffff,0,0,0,1,0
